DBN,School Name,Supportive Environment Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+ %,% Tested
12X300,The School of Science and Applied Learning,2,2,2,2,3,2,2,3,3,3,2,0.14400000000000002,0.315,0.124,0.9359999999999999,0.312,0.8690000000000001,0.005,0.366,0.611,0.015,11.8,0.898,0.898,0.44,0.96,3.29,3.36,2.56,3.36,3.61,Bronx,12,39.32584381,37.07865143,19.4756546,4.119850159,23.59550476,0.44798657718120805
12X314,Fairmont Neighborhood School,1,3,2,2,2,3,2,3,3,3,2,0.15,0.33899999999999997,0.10099999999999999,0.953,0.22399999999999998,0.9129999999999999,0.0,0.385,0.594,0.017,4.5,0.667,0.9129999999999999,0.375,0.9690000000000001,2.45,2.44,2.13,3.14,2.1,Bronx,12,57.0370369,30.37037086,11.11111069,1.481481433,12.59259224,0.47202797202797203
12X316,Kappa III,3,3,4,4,4,4,4,4,4,4,4,0.08800000000000001,0.268,0.106,0.9059999999999999,0.153,0.821,0.018000000000000002,0.27,0.691,0.013000000000000001,2.8,0.5670000000000001,0.9329999999999999,0.222,0.968,3.75,2.7,4.09,3.56,3.18,Bronx,12,33.24099731,33.51800537,22.43767357,10.80332375,33.24099731,0.9376623376623376
12X318,"I.S. X318 Math, Science & Technology Through Arts",3,3,3,3,3,3,3,3,3,3,3,0.17600000000000002,0.27,0.066,0.9329999999999999,0.258,0.871,0.02,0.262,0.7070000000000001,0.008,1.9,0.423,0.9059999999999999,0.32,0.945,3.25,3.28,3.39,3.52,3.16,Bronx,12,46.32034683,34.6320343,14.71861458,4.329004288,19.04761887,0.90234375
12X341,Accion Academy,2,3,2,3,3,2,2,2,3,3,2,0.152,0.285,0.079,0.932,0.285,0.8340000000000001,0.006999999999999999,0.252,0.722,0.02,0.8,0.462,0.882,0.488,0.978,3.78,3.64,3.71,3.77,2.8,Bronx,12,37.58865356,35.46099472,17.73049736,9.21985817,26.95035553,0.9337748344370861
12X383,Emolior Academy,2,3,3,3,4,3,3,3,3,3,3,0.19699999999999998,0.27399999999999997,0.131,0.9079999999999999,0.23199999999999998,0.815,0.035,0.247,0.629,0.031,1.8,0.68,0.885,0.366,0.9620000000000001,3.06,3.19,3.34,3.2,2.94,Bronx,12,39.24050522,37.552742,16.03375435,7.172995567,23.20675087,0.915057915057915
12X463,Urban Scholars Community School,4,3,3,3,3,3,3,3,3,3,3,0.14300000000000002,0.278,0.19399999999999998,0.9540000000000001,0.392,0.9109999999999999,0.008,0.46,0.519,0.004,9.0,0.833,0.927,0.26,0.9540000000000001,4.15,3.99,3.78,3.88,4.55,Bronx,12,32.71028137,28.97196198,31.77570152,6.542056084,38.31775665,0.45147679324894513
12X531,Archer Elementary School,3,4,3,4,4,3,3,4,3,4,3,0.244,0.271,0.124,0.897,0.273,0.8220000000000001,0.126,0.255,0.561,0.025,7.0,0.75,0.907,0.35600000000000004,0.9590000000000001,3.78,3.64,3.71,3.77,4.29,Bronx,12,35.58558655,34.23423386,22.52252197,7.657657623,30.1801796,0.45962732919254656
12X536,P.S. 536,2,3,3,3,3,4,4,4,4,4,4,0.21100000000000002,0.16899999999999998,0.11900000000000001,0.917,0.23,0.823,0.08199999999999999,0.23,0.639,0.024,0.8,0.867,0.9079999999999999,0.36200000000000004,0.9590000000000001,4.56,3.98,3.61,3.63,3.88,Bronx,12,34.57446671,42.55319214,19.14893532,3.723404169,22.87234116,0.4552058111380145
12X691,Bronx Little School,3,4,3,3,3,3,3,3,3,3,3,0.193,0.239,0.006999999999999999,0.857,0.23199999999999998,0.746,0.139,0.175,0.643,0.011000000000000001,3.0,0.733,0.9279999999999999,0.28600000000000003,0.9620000000000001,3.78,3.64,3.71,3.77,4.23,Bronx,12,35.97122192,32.37409973,23.02158356,8.633093834,31.65467644,0.49642857142857144
13K003,P.S. 003 The Bedford Village,2,2,2,3,3,3,3,3,3,3,2,0.10099999999999999,0.21100000000000002,0.098,0.868,0.318,0.774,0.095,0.76,0.092,0.012,19.1,0.867,0.9009999999999999,0.38299999999999995,0.966,2.94,3.02,2.41,3.5,3.13,Brooklyn,13,35.66433716,34.96503448,23.77622414,5.594405651,29.37063026,0.42433234421364985
13K008,P.S. 008 Robert Fulton,3,4,3,4,4,4,4,4,4,4,4,0.028999999999999998,0.126,0.002,0.2,0.028999999999999998,0.14,0.063,0.15,0.12,0.588,0.9,0.855,0.956,0.083,0.9670000000000001,4.3,3.43,4.25,3.97,3.42,Brooklyn,13,5.220883369,17.26907539,44.17670822,33.33333206,77.51004028,0.5436681222707423
13K009,P.S. 009 Teunis G. Bergen,3,3,3,3,4,3,4,4,3,4,4,0.035,0.177,0.028999999999999998,0.426,0.05,0.345,0.077,0.43700000000000006,0.154,0.278,14.0,0.828,0.9420000000000001,0.182,0.961,4.0,4.23,3.36,4.31,3.75,Brooklyn,13,9.420289993,24.27536201,40.94202805,25.36231804,66.30434418,0.35384615384615387
13K011,P.S. 011 Purvis J. Behan,3,4,3,4,4,4,4,4,4,4,4,0.009000000000000001,0.114,0.011000000000000001,0.486,0.084,0.336,0.019,0.67,0.12,0.11599999999999999,2.9,0.5379999999999999,0.9470000000000001,0.136,0.965,3.82,3.51,4.45,4.62,3.44,Brooklyn,13,4.134366989,17.82945824,36.69250488,41.34366989,78.03617859,0.4708029197080292
13K020,P.S. 020 Clinton Hill,3,3,4,3,4,3,3,3,3,2,3,0.05,0.156,0.01,0.584,0.146,0.469,0.03,0.531,0.221,0.174,9.0,0.867,0.9159999999999999,0.3,0.948,3.7,3.92,4.18,4.46,4.2,Brooklyn,13,17.64705849,28.75816917,35.29411697,18.30065346,53.59477234,0.37965260545905705
13K044,P.S. 044 Marcus Garvey,3,3,3,3,3,3,3,3,3,3,3,0.11699999999999999,0.25,0.109,0.938,0.21100000000000002,0.898,0.023,0.82,0.109,0.039,3.9,1.0,0.89,0.486,0.968,3.78,3.64,3.71,3.77,3.58,Brooklyn,13,26.7857151,44.6428566,25,3.571428537,28.5714283,0.4375
