DBN,School Name,Supportive Environment Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+ %,% Tested
20K102,P.S. 102 The Bayview,3,4,4,4,4,4,4,4,4,4,4,0.165,0.182,0.054000000000000006,0.621,0.037000000000000005,0.53,0.153,0.01,0.266,0.545,5.7,0.826,0.9540000000000001,0.105,0.9620000000000001,4.22,3.54,4.7,4.02,3.98,Brooklyn,20,14.43299007,20.47128105,25.18409348,39.91163635,65.09572601,0.47416201117318435
20K104,P.S./I.S. 104 The Fort Hamilton School,3,4,3,4,4,4,4,4,4,4,4,0.114,0.15,0.042,0.5710000000000001,0.023,0.46,0.2,0.043,0.267,0.462,21.4,0.833,0.951,0.133,0.968,4.73,4.23,4.36,3.78,4.04,Brooklyn,20,15.26627254,25.08875656,27.57396507,32.07100677,59.64496994,0.6679841897233202
20K105,P.S. 105 The Blythebourne,4,4,3,3,4,4,4,4,4,4,4,0.46299999999999997,0.07,0.004,0.927,0.035,0.8859999999999999,0.9159999999999999,0.003,0.05,0.031,16.9,0.784,0.981,0.026000000000000002,0.965,3.95,3.48,3.7,4.48,3.61,Brooklyn,20,5.401661873,12.60387802,29.08587265,52.90858841,81.99446106,0.47909754479097544
20K112,P.S. 112 Lefferts Park,4,4,4,4,4,4,4,4,4,4,4,0.247,0.18,0.017,0.757,0.051,0.6759999999999999,0.402,0.002,0.33399999999999996,0.256,15.9,0.698,0.95,0.154,0.9470000000000001,4.62,4.28,4.82,4.18,4.4,Brooklyn,20,12.45283031,21.50943375,30.56603813,35.47169876,66.03773499,0.4009077155824508
20K127,P.S. 127 Mckinley Park,4,3,3,4,4,4,4,4,4,4,4,0.294,0.20600000000000002,0.027999999999999997,0.67,0.035,0.602,0.405,0.009000000000000001,0.22699999999999998,0.342,8.0,0.897,0.9470000000000001,0.141,0.953,4.87,4.81,4.18,4.35,4.9,Brooklyn,20,16.12903214,22.58064461,33.87096786,27.41935539,61.29032135,0.46096654275092935
20K160,P.S. 160 William T. Sampson,4,4,3,3,4,4,4,4,4,4,4,0.642,0.129,0.042,0.9209999999999999,0.027000000000000003,0.862,0.87,0.006,0.08199999999999999,0.038,13.8,0.6920000000000001,0.978,0.040999999999999995,0.963,4.56,4.36,3.99,3.61,4.46,Brooklyn,20,11.36712742,18.1259594,29.646698,40.86021423,70.50691223,0.510989010989011
20K163,P.S. 163 Bath Beach,3,4,4,3,3,3,4,4,4,4,4,0.22699999999999998,0.193,0.065,0.754,0.087,0.6709999999999999,0.313,0.013000000000000001,0.349,0.322,3.5,0.872,0.946,0.157,0.966,3.87,3.75,4.46,3.08,3.96,Brooklyn,20,18.92523384,25.93457985,28.504673,26.63551331,55.14018631,0.6761453396524486
20K164,P.S. 164 Caesar Rodney,4,4,3,3,4,4,4,4,4,4,4,0.2,0.182,0.078,0.894,0.09300000000000001,0.812,0.436,0.015,0.405,0.131,3.9,0.736,0.96,0.092,0.9590000000000001,4.65,4.43,3.98,4.04,4.08,Brooklyn,20,15.942029,26.08695602,23.91304398,34.05797195,57.97101593,0.4052863436123348
20K170,Ralph A. Fabrizio School,4,4,4,3,4,4,4,4,4,4,4,0.33,0.16399999999999998,0.024,0.83,0.135,0.769,0.5579999999999999,0.005,0.171,0.255,8.8,0.727,0.963,0.092,0.9670000000000001,4.78,4.56,4.59,4.19,4.52,Brooklyn,20,13.85542202,20.08032036,25.90361404,40.16064072,66.06425476,0.4811594202898551
20K176,P.S. 176 Ovington,4,4,4,4,4,4,4,4,4,4,4,0.28300000000000003,0.10800000000000001,0.022000000000000002,0.802,0.087,0.736,0.669,0.006,0.205,0.115,13.4,0.779,0.973,0.055,0.961,4.53,3.89,4.73,3.97,4.18,Brooklyn,20,10.803689,13.96574402,24.110672,51.11989594,75.23056793,0.5689655172413793
20K179,P.S. 179 Kensington,3,3,2,3,4,3,4,4,3,3,3,0.486,0.177,0.091,0.903,0.114,0.8420000000000001,0.547,0.04,0.243,0.157,0.8,0.8029999999999999,0.935,0.205,0.95,3.5,3.84,3.06,3.36,3.76,Brooklyn,20,33.49633408,27.38386345,22.98288536,16.13691902,39.11980438,0.482311320754717
20K180,The SEEALL Academy,4,3,3,4,4,4,4,4,4,4,4,0.308,0.154,0.035,0.843,0.066,0.7559999999999999,0.45899999999999996,0.008,0.272,0.248,11.9,0.857,0.9640000000000001,0.091,0.965,4.59,4.52,4.02,3.21,4.34,Brooklyn,20,16.85082817,22.65193367,24.44751358,36.04972458,60.49723816,0.6464285714285715
20K185,P.S. 185 Walter Kassenbrock,3,4,3,3,4,4,4,4,4,4,4,0.071,0.156,0.048,0.41600000000000004,0.013999999999999999,0.305,0.078,0.012,0.175,0.701,3.0,0.929,0.9520000000000001,0.10400000000000001,0.9520000000000001,4.42,3.76,3.93,3.84,3.65,Brooklyn,20,10.89743614,21.79487228,27.88461494,39.42307663,67.30769348,0.4785276073619632
20K186,P.S. 186 Dr. Irving A Gladstone,3,4,3,4,4,4,4,4,4,4,4,0.355,0.182,0.066,0.765,0.045,0.708,0.405,0.002,0.27399999999999997,0.307,13.7,0.597,0.955,0.114,0.9690000000000001,4.28,3.65,4.23,4.04,3.76,Brooklyn,20,22.3819294,21.76591301,27.51539993,28.33675575,55.85215759,0.47189922480620156
