DBN,School Name,Enrollment,Supportive Environment Rating,Student Achievement Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District
21K468,Kingsborough Early College School,291,3,3,4,4,4,4,4,4,4,4,4,4,0.031,0.18899999999999997,0.003,0.743,0.07200000000000001,0.67,0.1,0.24100000000000002,0.33299999999999996,0.306,3.0,0.875,0.9229999999999999,0.24100000000000002,0.955,4.83,4.62,4.76,3.78,4.31,Brooklyn,21K
21K690,Brooklyn Studio Secondary School,308,3,3,3,3,3,3,3,4,3,3,3,3,0.198,0.21100000000000002,0.0,0.8009999999999999,0.052000000000000005,0.75,0.237,0.032,0.318,0.406,7.6,0.8170000000000001,0.943,0.16899999999999998,0.95,3.55,3.41,3.58,2.16,3.09,Brooklyn,21K
22K014,J.H.S. 014 Shell Bank,525,2,3,4,3,3,4,3,4,4,4,4,4,0.244,0.248,0.133,0.828,0.168,0.758,0.147,0.389,0.16399999999999998,0.282,4.7,0.915,0.902,0.382,0.956,3.8,4.04,4.0,3.08,3.9,Brooklyn,22K
22K052,P.S. 052 Sheepshead Bay,751,3,2,3,3,3,4,4,4,4,4,4,4,0.304,0.133,0.047,0.7020000000000001,0.085,0.618,0.162,0.152,0.138,0.5329999999999999,1.0,0.847,0.929,0.233,0.966,4.51,3.9,3.62,3.36,4.23,Brooklyn,22K
22K078,J.H.S. 078 Roy H. Mann,567,3,2,4,3,3,4,3,4,4,3,3,3,0.067,0.263,0.122,0.7040000000000001,0.145,0.624,0.069,0.7020000000000001,0.092,0.122,5.6,0.93,0.925,0.273,0.956,3.91,4.06,4.1,3.72,4.14,Brooklyn,22K
22K109,P.S. 109,653,2,3,2,2,2,3,2,2,3,2,2,2,0.063,0.266,0.127,0.7559999999999999,0.29600000000000004,0.669,0.018000000000000002,0.7959999999999999,0.149,0.023,1.8,0.78,0.9209999999999999,0.278,0.958,2.09,2.68,2.33,2.48,2.62,Brooklyn,22K
22K119,P.S. 119 Amersfort,408,4,2,2,2,2,3,3,4,3,2,2,2,0.1,0.17600000000000002,0.076,0.725,0.10800000000000001,0.672,0.159,0.637,0.145,0.034,14.0,0.9059999999999999,0.955,0.12300000000000001,0.9690000000000001,3.52,3.19,2.41,3.94,4.2,Brooklyn,22K
22K134,P.S. K134,570,4,4,4,4,4,4,4,4,4,4,4,4,0.221,0.139,0.012,0.85,0.11599999999999999,0.772,0.43700000000000006,0.055999999999999994,0.109,0.379,10.4,0.609,0.9520000000000001,0.102,0.978,4.79,4.51,4.93,3.67,4.37,Brooklyn,22K
22K139,P.S. 139 Alexine A. Fenty,923,3,2,3,3,2,4,3,3,3,3,3,2,0.18600000000000003,0.192,0.069,0.759,0.128,0.6809999999999999,0.18899999999999997,0.261,0.413,0.106,14.9,0.545,0.937,0.19399999999999998,0.965,2.94,2.89,3.03,3.94,3.19,Brooklyn,22K
22K152,School of Science & Technology,699,2,2,4,4,4,3,4,4,4,4,4,4,0.177,0.23600000000000002,0.109,0.821,0.166,0.758,0.059000000000000004,0.605,0.275,0.040999999999999995,1.0,0.825,0.9359999999999999,0.22,0.956,3.99,3.23,4.43,3.42,3.71,Brooklyn,22K
22K193,P.S. 193 Gil Hodges,740,3,3,3,2,3,3,3,3,3,3,3,4,0.21100000000000002,0.21100000000000002,0.07,0.65,0.059000000000000004,0.568,0.17800000000000002,0.457,0.138,0.177,1.9,0.7829999999999999,0.94,0.182,0.972,3.07,3.46,2.84,3.96,3.53,Brooklyn,22K
22K194,P.S. 194 Raoul Wallenberg,536,3,3,3,3,3,3,2,3,3,3,3,3,0.131,0.278,0.10800000000000001,0.9059999999999999,0.201,0.8540000000000001,0.11900000000000001,0.46799999999999997,0.19399999999999998,0.205,1.9,0.867,0.912,0.368,0.973,3.52,3.87,3.44,3.8,4.48,Brooklyn,22K
22K195,P.S. 195 Manhattan Beach,463,3,3,4,4,4,4,4,4,4,4,4,4,0.177,0.063,0.015,0.311,0.011000000000000001,0.248,0.032,0.019,0.015,0.924,5.8,0.655,0.934,0.231,0.977,4.07,2.59,4.37,4.32,3.58,Brooklyn,22K
22K197,P.S. 197 - The Kings Highway Academy,597,3,3,4,3,4,4,3,4,4,4,4,4,0.307,0.19399999999999998,0.07,0.688,0.084,0.605,0.121,0.111,0.126,0.616,13.0,0.792,0.937,0.188,0.9590000000000001,3.8,3.89,4.42,3.94,4.01,Brooklyn,22K
22K198,P.S. 198 Brooklyn,361,2,2,3,2,3,3,3,3,3,3,3,3,0.033,0.23800000000000002,0.08900000000000001,0.7609999999999999,0.23800000000000002,0.6679999999999999,0.03,0.856,0.091,0.011000000000000001,9.2,0.816,0.924,0.271,0.98,3.41,3.55,3.16,4.17,3.6,Brooklyn,22K
22K203,P.S. 203 Floyd Bennett School,645,3,3,4,3,3,4,4,4,4,4,4,4,0.09,0.24,0.126,0.6629999999999999,0.14,0.606,0.068,0.764,0.102,0.037000000000000005,2.8,0.815,0.94,0.187,0.97,4.1,3.35,3.47,3.6,3.44,Brooklyn,22K
22K206,P.S. 206 Joseph F Lamb,1487,3,3,4,3,3,4,4,4,4,4,4,4,0.22899999999999998,0.128,0.02,0.607,0.048,0.523,0.479,0.016,0.096,0.39399999999999996,3.0,0.6629999999999999,0.956,0.114,0.956,4.36,3.78,3.84,3.7,3.61,Brooklyn,22K
22K207,P.S. 207 Elizabeth G. Leary,1210,3,3,3,3,3,4,4,4,4,4,4,4,0.044000000000000004,0.196,0.038,0.385,0.028999999999999998,0.335,0.12300000000000001,0.34,0.156,0.359,0.8,0.9420000000000001,0.95,0.11699999999999999,0.9670000000000001,4.41,3.79,3.52,4.09,3.7,Brooklyn,22K
22K217,P.S. 217 Colonel David Marcus School,1132,3,3,3,4,4,4,3,4,4,4,4,4,0.273,0.152,0.027000000000000003,0.799,0.08800000000000001,0.733,0.519,0.096,0.17800000000000002,0.17800000000000002,1.9,0.828,0.935,0.2,0.9540000000000001,3.69,3.87,4.27,4.12,4.11,Brooklyn,22K
22K222,P.S. 222 Katherine R. Snyder,896,3,4,4,3,3,4,3,4,4,4,4,4,0.109,0.235,0.059000000000000004,0.42100000000000004,0.017,0.373,0.212,0.132,0.172,0.461,5.8,0.838,0.951,0.14400000000000002,0.97,3.87,3.9,4.01,4.32,4.38,Brooklyn,22K
22K234,J.H.S. 234 Arthur W. Cunningham,1907,3,3,4,3,3,4,4,4,4,4,4,4,0.098,0.136,0.040999999999999995,0.625,0.055999999999999994,0.5379999999999999,0.243,0.16899999999999998,0.129,0.442,0.3,0.8759999999999999,0.94,0.177,0.963,4.31,3.57,3.94,3.44,3.35,Brooklyn,22K
22K236,P.S. 236 Mill Basin,505,4,2,3,3,4,4,4,4,4,4,4,4,0.059000000000000004,0.147,0.044000000000000004,0.349,0.05,0.28300000000000003,0.091,0.212,0.147,0.501,4.6,0.919,0.946,0.11699999999999999,0.9540000000000001,4.67,4.15,4.05,4.4,4.42,Brooklyn,22K
22K240,Andries Hudde,743,2,2,3,2,2,2,2,2,3,2,2,2,0.13699999999999998,0.17800000000000002,0.057,0.735,0.102,0.655,0.18600000000000003,0.58,0.136,0.085,4.0,0.925,0.937,0.198,0.96,1.9,2.33,2.34,2.99,2.67,Brooklyn,22K
22K245,P.S. 245,290,4,3,3,3,3,4,3,4,4,4,4,4,0.07200000000000001,0.259,0.083,0.828,0.124,0.759,0.013999999999999999,0.541,0.397,0.031,4.8,0.88,0.945,0.136,0.975,4.17,4.01,3.76,4.01,3.53,Brooklyn,22K
22K251,P.S. 251 Paerdegat,470,2,2,3,2,2,3,3,3,3,3,3,3,0.07,0.21100000000000002,0.1,0.772,0.162,0.7040000000000001,0.027999999999999997,0.738,0.155,0.051,3.0,0.7909999999999999,0.9179999999999999,0.297,0.973,3.78,3.64,3.71,3.77,2.86,Brooklyn,22K
22K254,P.S. 254 Dag Hammarskjold,772,3,3,3,3,3,3,3,3,3,3,3,3,0.21600000000000003,0.141,0.023,0.541,0.017,0.46,0.294,0.009000000000000001,0.095,0.598,1.8,0.833,0.943,0.16699999999999998,0.951,3.6,3.42,3.19,3.96,4.04,Brooklyn,22K
22K255,P.S. 255 Barbara Reing School,922,3,3,4,3,3,4,4,4,4,4,4,4,0.23199999999999998,0.16399999999999998,0.038,0.7170000000000001,0.099,0.624,0.217,0.025,0.10099999999999999,0.64,4.8,0.747,0.943,0.185,0.971,4.19,2.63,3.86,3.55,3.43,Brooklyn,22K
22K269,P.S. 269 Nostrand,321,4,4,3,2,2,4,3,4,4,4,4,4,0.24600000000000002,0.249,0.09699999999999999,0.84,0.196,0.769,0.022000000000000002,0.754,0.17800000000000002,0.037000000000000005,6.8,0.818,0.935,0.212,0.966,3.78,3.64,3.71,3.77,3.7,Brooklyn,22K
22K277,P.S. 277 Gerritsen Beach,403,3,2,3,3,3,3,4,4,4,4,4,4,0.07200000000000001,0.21100000000000002,0.052000000000000005,0.395,0.035,0.32299999999999995,0.122,0.025,0.141,0.695,1.8,0.818,0.948,0.107,0.972,4.46,2.6,3.49,4.0,3.77,Brooklyn,22K
22K278,J.H.S. 278 Marine Park,1106,3,3,4,3,4,4,4,4,4,4,4,4,0.049,0.18,0.042,0.5489999999999999,0.095,0.456,0.1,0.426,0.17300000000000001,0.278,16.9,0.789,0.9390000000000001,0.175,0.958,4.36,3.57,4.31,3.62,3.27,Brooklyn,22K
22K312,P.S. 312 Bergen Beach,741,3,3,4,4,4,4,3,4,4,4,4,4,0.043,0.19399999999999998,0.062,0.451,0.031,0.37,0.04,0.39299999999999996,0.11900000000000001,0.42100000000000004,3.8,0.855,0.938,0.157,0.963,3.49,3.08,4.73,4.23,2.97,Brooklyn,22K
22K315,P.S. K315,641,3,3,3,3,3,4,3,3,3,3,4,3,0.172,0.282,0.111,0.843,0.204,0.774,0.084,0.573,0.275,0.053,7.2,0.904,0.9359999999999999,0.22899999999999998,0.966,3.78,3.64,3.71,3.77,3.99,Brooklyn,22K
22K381,I. S. 381,244,3,4,4,4,3,4,4,3,4,3,4,3,0.156,0.18899999999999997,0.040999999999999995,0.703,0.049,0.627,0.09,0.525,0.201,0.16399999999999998,1.8,0.909,0.946,0.158,0.9690000000000001,3.78,3.64,3.71,3.77,4.2,Brooklyn,22K
22K890,M.S. 890,117,4,4,4,4,4,4,4,4,4,4,4,4,0.034,0.154,0.034,0.737,0.10300000000000001,0.65,0.12,0.41,0.35,0.10300000000000001,1.0,0.125,0.968,0.034,0.982,3.78,3.64,3.71,3.77,3.7,Brooklyn,22K
23K041,P.S. 041 Francis White,457,2,3,3,3,3,3,3,3,3,3,3,3,0.077,0.33,0.125,0.961,0.267,0.9229999999999999,0.004,0.6,0.313,0.033,0.9,1.0,0.861,0.522,0.971,3.29,3.31,3.4,2.65,3.57,Brooklyn,23K
23K137,P.S./I.S. 137 Rachel Jean Mitchell,275,3,3,3,2,2,3,2,3,3,3,3,2,0.047,0.331,0.175,0.9,0.298,0.8290000000000001,0.0,0.745,0.193,0.015,2.9,0.828,0.8909999999999999,0.39399999999999996,0.9840000000000001,3.78,3.64,3.71,3.77,4.16,Brooklyn,23K
23K150,P.S. 150 Christopher,171,2,2,2,2,3,3,2,2,3,2,3,3,0.08800000000000001,0.363,0.205,0.98,0.228,0.93,0.006,0.649,0.304,0.018000000000000002,0.8,0.722,0.9009999999999999,0.447,0.9590000000000001,3.22,3.38,2.38,3.86,4.31,Brooklyn,23K
23K155,P.S./ I.S. 155 Nicholas Herkimer,385,2,3,3,3,3,3,2,3,3,3,2,2,0.177,0.247,0.109,0.934,0.281,0.894,0.026000000000000002,0.53,0.42100000000000004,0.013000000000000001,1.7,0.941,0.882,0.517,0.9440000000000001,3.15,3.32,3.57,3.64,3.94,Brooklyn,23K
23K156,P.S. 156 Waverly,666,1,2,2,2,2,3,2,2,3,3,3,3,0.012,0.242,0.092,0.888,0.239,0.8109999999999999,0.008,0.797,0.174,0.009000000000000001,1.8,0.732,0.894,0.435,0.9490000000000001,2.46,2.97,2.14,3.15,2.57,Brooklyn,23K
23K165,P.S. 165 Ida Posner,175,3,4,3,2,3,3,3,3,3,3,4,3,0.028999999999999998,0.36,0.14300000000000002,0.963,0.297,0.937,0.0,0.8059999999999999,0.14300000000000002,0.046,1.8,0.929,0.8859999999999999,0.402,0.958,3.78,3.64,3.71,3.77,4.0,Brooklyn,23K
23K178,P.S. 178 Saint Clair Mckelway,309,2,2,3,3,3,3,3,3,3,3,3,3,0.068,0.243,0.139,0.932,0.278,0.871,0.013000000000000001,0.748,0.184,0.039,10.8,0.9329999999999999,0.877,0.49,0.958,4.03,4.02,3.42,3.98,4.49,Brooklyn,23K
23K184,P.S. 184 Newport,526,2,2,3,3,3,3,3,3,3,3,3,3,0.044000000000000004,0.295,0.163,0.95,0.23199999999999998,0.903,0.002,0.715,0.266,0.008,3.9,0.9129999999999999,0.889,0.455,0.955,3.0,3.2,3.33,3.6,3.25,Brooklyn,23K
